Part Number,Manufacturer,Stock,Web active,Description,Process,Condition,Ebay Listing Link
0010-20287,Applied Materials ,1,ebay,"Indexer Housing, Left",PVD,New,https://www.ebay.com/itm/AMAT-PVD-0010-20287-0010-20288-Handler-Assy-LT-RT-1-pair/331919121189?hash=item4d47ebdb25:g:39UAAOSwARZXlthE:rk:1:pf:0
0010-20288,Applied Materials ,1,ebay,"Indexer Housing, Right",PVD,New,https://www.ebay.com/itm/AMAT-PVD-0010-20287-0010-20288-Handler-Assy-LT-RT-1-pair/331919121189?hash=item4d47ebdb25:g:39UAAOSwARZXlthE:rk:1:pf:0
0010-20292,Applied Materials ,1,ebay,"DETECTOR ASSY, LLB, RIGHT",PVD,New,https://www.ebay.com/itm/Applied-Materials-0010-20292-DETECTOR-ASSY-LLB-RIGHT-PVD/332715191711?hash=item4d775eed9f:g:7f8AAOSwyARbQ-b6
0010-20292,Applied Materials ,2,ebay,"DETECTOR ASSY, LLB, RIGHT",PVD,New,https://www.ebay.com/itm/Applied-Materials-0010-20292-DETECTOR-ASSY-LLB-RIGHT-AMAT-PVD/332715177924?hash=item4d775eb7c4:g:qV0AAOSwYuNbQ-Lm:rk:1:pf:0
0010-20407,Applied Materials ,1,ebay,"DETECTOR ASSY, LLA, RIGHT",PVD,New,https://www.ebay.com/itm/Applied-Materials-0010-20407-DETECTOR-ASSY-LLA-RIGHT-PVD/332716320143?hash=item4d7770258f%3Ag%3Af50AAOSw1qtbRTV0&_sacat=0&_nkw=0010-20407&_from=R40&rt=nc&_trksid=m570.l1313
0010-20441,Applied Materials ,1,ebay,"RF Match, Assy. 6 """,PVD,New,https://www.ebay.com/itm/Applied-Materials-0010-20441-RF-Match-PVD-6/232026906983?hash=item3605e1a167:g:QqkAAOSwENxXltys:rk:1:pf:0
0010-20697,Applied Materials ,1,ebay,"Dual Degas Driver, Assy. 200V",PVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-20697-Dual-Degas-Driver-Assy-200V-AMAT-PVD/332788864495?hash=item4d7bc315ef:g:xfQAAOSwsNBbi0Fx
0010-20697,Applied Materials ,1,ebay,"200V Dual Degas Driver, Assy.",PVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-20697-Dual-Degas-Driver-Assy-200V-Endura-PVD/332797197120?hash=item4d7c423b40:g:bWMAAOSw8H1bkwxl
0010-20764,Applied Materials ,1,ebay,"PVD Driver 200V, Assy.",PVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-20764-PVD-Driver-200V-Assy-AMAT-PVD/332816891988?hash=item4d7d6ec054:g:4XIAAOSwa6Jbp~ZW
0010-20768,Applied Materials ,1,ebay,"Magnet, Assy.  G-12 200 MM",PVD,New,
0010-21403,Applied Materials ,1,ebay,"Magnet, PVD",PVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-21403-Magnet-PVD-AMAT-PVD/232070064693?hash=item3608742a35:g:M5wAAOSwxg5Xyx48:rk:1:pf:0
0010-21678,Applied Materials ,1,ebay,"Shield, Assy. Vectra IMP TI ADV 101 150 mm",PVD,New,https://www.ebay.com/itm/Applied-Materials-0010-21678-Shield-Assy-Vectra-IMP-TI-ADV-101-Endura-PVD/331919132266?hash=item4d47ec066a:g:YNUAAOSwENxXlt4X
